time_ps,copy,split_valid,split_ready,split_empty,split_error,split_accept,lane_match,would_enter_deassembly,deassembly_wrreq,deassembly_full,deassembly_empty,in_payload_valid,push_write_req,push_write_grant,run_state_code,pop_state_code,push_state_code,gts_8n,read_time_ptr,age_mod8192,hit_ts8n,hit_key,expected_copy,asic,channel,t_fine,ts12,hit1_data_hex,metadata_valid,metadata_hex
2016404000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1913,1,653,1260,78,2,X,21,0,0,0xXX49d80000,1,0x0001efb11X000015
2016404000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1913,1,653,1260,78,2,X,21,0,0,0xXX49d80000,1,0x0001efb11X000015
2016404000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1913,1,653,1260,78,2,X,21,0,0,0xXX49d80000,1,0x0001efb11X000015
2016412000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1914,1,1914,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016436000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1917,1,657,1260,78,2,X,22,0,0,0xXX89d80000,1,0x0001efb51X000016
2016436000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1917,1,657,1260,78,2,X,22,0,0,0xXX89d80000,1,0x0001efb51X000016
2016436000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1917,1,657,1260,78,2,X,22,0,0,0xXX89d80000,1,0x0001efb51X000016
2016436000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1917,1,657,1260,78,2,X,22,0,0,0xXX89d80000,1,0x0001efb51X000016
2016444000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1918,1,1918,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016460000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1920,1,660,1260,78,2,X,23,0,0,0xXXc9d80000,1,0x0001efb81X000017
2016460000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1920,1,660,1260,78,2,X,23,0,0,0xXXc9d80000,1,0x0001efb81X000017
2016460000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1920,1,660,1260,78,2,X,23,0,0,0xXXc9d80000,1,0x0001efb81X000017
2016460000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1920,1,660,1260,78,2,X,23,0,0,0xXXc9d80000,1,0x0001efb81X000017
2016468000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1921,1,1921,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016492000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1924,1,664,1260,78,2,X,24,0,0,0xXX09d80000,1,0x0001efbc1X000018
2016492000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1924,1,664,1260,78,2,X,24,0,0,0xXX09d80000,1,0x0001efbc1X000018
2016492000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1924,1,664,1260,78,2,X,24,0,0,0xXX09d80000,1,0x0001efbc1X000018
2016492000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1924,1,664,1260,78,2,X,24,0,0,0xXX09d80000,1,0x0001efbc1X000018
2016500000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1925,1,1925,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016516000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1927,1,667,1260,78,2,X,25,0,0,0xXX49d80000,1,0x0001efbf1X000019
2016516000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1927,1,667,1260,78,2,X,25,0,0,0xXX49d80000,1,0x0001efbf1X000019
2016516000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1927,1,667,1260,78,2,X,25,0,0,0xXX49d80000,1,0x0001efbf1X000019
2016516000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1927,1,667,1260,78,2,X,25,0,0,0xXX49d80000,1,0x0001efbf1X000019
2016524000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1928,1,1928,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016548000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1931,1,671,1260,78,2,X,26,0,0,0xXX89d80000,1,0x0001efc31X00001a
2016548000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1931,1,671,1260,78,2,X,26,0,0,0xXX89d80000,1,0x0001efc31X00001a
2016548000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1931,1,671,1260,78,2,X,26,0,0,0xXX89d80000,1,0x0001efc31X00001a
2016548000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1931,1,671,1260,78,2,X,26,0,0,0xXX89d80000,1,0x0001efc31X00001a
2016556000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1932,1,1932,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016572000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1934,1,674,1260,78,2,X,27,0,0,0xXXc9d80000,1,0x0001efc61X00001b
2016572000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1934,1,674,1260,78,2,X,27,0,0,0xXXc9d80000,1,0x0001efc61X00001b
2016572000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1934,1,674,1260,78,2,X,27,0,0,0xXXc9d80000,1,0x0001efc61X00001b
2016572000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1934,1,674,1260,78,2,X,27,0,0,0xXXc9d80000,1,0x0001efc61X00001b
2016580000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1935,1,1935,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016604000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1938,1,678,1260,78,2,X,28,0,0,0xXX09d80000,1,0x0001efca1X00001c
2016604000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1938,1,678,1260,78,2,X,28,0,0,0xXX09d80000,1,0x0001efca1X00001c
2016604000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1938,1,678,1260,78,2,X,28,0,0,0xXX09d80000,1,0x0001efca1X00001c
2016604000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1938,1,678,1260,78,2,X,28,0,0,0xXX09d80000,1,0x0001efca1X00001c
2016612000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1939,1,1939,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016628000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1941,1,681,1260,78,2,X,29,0,0,0xXX49d80000,1,0x0001efcd1X00001d
2016628000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1941,1,681,1260,78,2,X,29,0,0,0xXX49d80000,1,0x0001efcd1X00001d
2016628000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1941,1,681,1260,78,2,X,29,0,0,0xXX49d80000,1,0x0001efcd1X00001d
2016628000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1941,1,681,1260,78,2,X,29,0,0,0xXX49d80000,1,0x0001efcd1X00001d
2016636000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1942,1,1942,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016660000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1945,1,685,1260,78,2,X,30,0,0,0xXX89d80000,1,0x0001efd11X00001e
2016660000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1945,1,685,1260,78,2,X,30,0,0,0xXX89d80000,1,0x0001efd11X00001e
2016660000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1945,1,685,1260,78,2,X,30,0,0,0xXX89d80000,1,0x0001efd11X00001e
2016660000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1945,1,685,1260,78,2,X,30,0,0,0xXX89d80000,1,0x0001efd11X00001e
2016668000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1946,1,1946,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016684000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1948,1,688,1260,78,2,X,31,0,0,0xXXc9d80000,1,0x0001efd41X00001f
2016684000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1948,1,688,1260,78,2,X,31,0,0,0xXXc9d80000,1,0x0001efd41X00001f
