time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2313308800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1740000f7,0,0,0
2313315200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1550000f7,4,0,0
2313315200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1750000f7,4,0,0
2313321600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1560000f7,8,0,0
2313321600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1760000f7,8,0,0
2313328000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1570000f7,12,0,0
2313328000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1770000f7,12,0,0
2313334400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1580000f7,0,0,0
2313334400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1780000f7,0,0,0
2313340800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1590000f7,4,0,0
2313340800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1790000f7,4,0,0
2313347200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15a0000f7,8,0,0
2313347200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17a0000f7,8,0,0
2313353600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15b0000f7,12,0,0
2313353600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17b0000f7,12,0,0
2313360000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15c0000f7,0,0,0
2313360000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17c0000f7,0,0,0
2313366400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15d0000f7,4,0,0
2313366400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17d0000f7,4,0,0
2313372800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15e0000f7,8,0,0
2313372800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17e0000f7,8,0,0
2313379200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15f0000f7,12,0,0
2313379200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17f0000f7,12,0,0
2313385600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1600000f7,0,0,0
2313385600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1800000f7,0,0,0
2313392000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1610000f7,4,0,0
2313392000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1810000f7,4,0,0
2313398400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1620000f7,8,0,0
2313398400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1820000f7,8,0,0
2313404800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1630000f7,12,0,0
2313404800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1830000f7,12,0,0
2313411200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1640000f7,0,0,0
