time_ps,bank,debug_valid,debug_delay_cycles,hit1_valid,hit1_ready,hit1_empty,hit1_error,hit_ts8n,hit_key,asic,channel,t_fine,metadata_valid,metadata_hex
2861108000,0,1,372,1,1,0,0,630,39,X,29,0,1,0x00038c251X000a9d
2861140000,0,1,376,1,1,0,0,630,39,X,30,0,1,0x00038c291X000a9e
2861164000,0,1,379,1,1,0,0,630,39,X,31,0,1,0x00038c2c1X000a9f
2874860000,0,1,831,1,1,0,0,1890,118,X,0,0,1,0x000392dc1X000aa0
2874884000,0,1,834,1,1,0,0,1890,118,X,1,0,1,0x000392df1X000aa1
2874916000,0,1,838,1,1,0,0,1890,118,X,2,0,1,0x000392e31X000aa2
2874940000,0,1,841,1,1,0,0,1890,118,X,3,0,1,0x000392e61X000aa3
2874972000,0,1,845,1,1,0,0,1890,118,X,4,0,1,0x000392ea1X000aa4
2874996000,0,1,848,1,1,0,0,1890,118,X,5,0,1,0x000392ed1X000aa5
2875028000,0,1,852,1,1,0,0,1890,118,X,6,0,1,0x000392f11X000aa6
2875052000,0,1,855,1,1,0,0,1890,118,X,7,0,1,0x000392f41X000aa7
2875084000,0,1,859,1,1,0,0,1890,118,X,8,0,1,0x000392f81X000aa8
2875108000,0,1,862,1,1,0,0,1890,118,X,9,0,1,0x000392fb1X000aa9
2875140000,0,1,866,1,1,0,0,1890,118,X,10,0,1,0x000392ff1X000aaa
2875164000,0,1,869,1,1,0,0,1890,118,X,11,0,1,0x000393021X000aab
2875196000,0,1,873,1,1,0,0,1890,118,X,12,0,1,0x000393061X000aac
2875220000,0,1,876,1,1,0,0,1890,118,X,13,0,1,0x000393091X000aad
2875252000,0,1,880,1,1,0,0,1890,118,X,14,0,1,0x0003930d1X000aae
2875276000,0,1,883,1,1,0,0,1890,118,X,15,0,1,0x000393101X000aaf
2875308000,0,1,887,1,1,0,0,1890,118,X,16,0,1,0x000393141X000ab0
2875332000,0,1,890,1,1,0,0,1890,118,X,17,0,1,0x000393171X000ab1
