hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,run_origin
1010167986522840,0,24,0,4502,1010167986522840,2882676000,2882812000,1
1010180871424729,0,25,0,4502,1010180871424729,2882700000,2882836000,1
1010198051293914,0,26,0,4502,1010198051293914,2882732000,2882868000,1
1010210936195803,0,27,0,4502,1010210936195803,2882756000,2882892000,1
1010228116064988,0,28,0,4502,1010228116064988,2882788000,2882924000,1
1010241000966877,0,29,0,4502,1010241000966877,2882812000,2882948000,1
1010258180836062,0,30,0,4502,1010258180836062,2882844000,2882980000,1
1010271065737951,0,31,0,4502,1010271065737951,2882868000,2883004000,1
1013715629509344,0,0,0,11450,1013715629509344,2889284000,2889420000,1
1013728514411233,0,1,0,11450,1013728514411233,2889308000,2889444000,1
1013745694280418,0,2,0,11450,1013745694280418,2889340000,2889476000,1
1013758579182307,0,3,0,11450,1013758579182307,2889364000,2889500000,1
1013775759051492,0,4,0,11450,1013775759051492,2889396000,2889532000,1
1013788643953381,0,5,0,11450,1013788643953381,2889420000,2889556000,1
1013805823822566,0,6,0,11450,1013805823822566,2889452000,2889588000,1
1013818708724455,0,7,0,11450,1013818708724455,2889476000,2889612000,1
1013835888593640,0,8,0,11450,1013835888593640,2889508000,2889644000,1
1013848773495529,0,9,0,11450,1013848773495529,2889532000,2889668000,1
1013865953364714,0,10,0,11450,1013865953364714,2889564000,2889700000,1
1013878838266603,0,11,0,11450,1013878838266603,2889588000,2889724000,1
1013896018135788,0,12,0,11450,1013896018135788,2889620000,2889756000,1
1013908903037677,0,13,0,11450,1013908903037677,2889644000,2889780000,1
1013926082906862,0,14,0,11450,1013926082906862,2889676000,2889812000,1
1013938967808751,0,15,0,11450,1013938967808751,2889700000,2889836000,1
1013956147677936,0,16,0,11450,1013956147677936,2889732000,2889868000,1
1013969032579825,0,17,0,11450,1013969032579825,2889756000,2889892000,1
1013986212449010,0,18,0,11450,1013986212449010,2889788000,2889924000,1
1013999097350899,0,19,0,11450,1013999097350899,2889812000,2889948000,1
1014016277220084,0,20,0,11450,1014016277220084,2889844000,2889980000,1
1014029162121973,0,21,0,11450,1014029162121973,2889868000,2890004000,1
1014046341991158,0,22,0,11450,1014046341991158,2889900000,2890036000,1
1014059226893047,0,23,0,11450,1014059226893047,2889924000,2890060000,1
1014076406762232,0,24,0,11450,1014076406762232,2889956000,2890092000,1
1014089291664121,0,25,0,11450,1014089291664121,2889980000,2890116000,1
1014106471533306,0,26,0,11450,1014106471533306,2890012000,2890148000,1
1014119356435195,0,27,0,11450,1014119356435195,2890036000,2890172000,1
1014136536304380,0,28,0,11450,1014136536304380,2890068000,2890204000,1
1014149421206269,0,29,0,11450,1014149421206269,2890092000,2890228000,1
1014166601075454,0,30,0,11450,1014166601075454,2890124000,2890260000,1
1014179485977343,0,31,0,11450,1014179485977343,2890148000,2890284000,1
1021532469988096,0,0,0,4373,1021532469988096,2903844000,2903980000,1
1021545354889985,0,1,0,4373,1021545354889985,2903868000,2904004000,1
1021562534759170,0,2,0,4373,1021562534759170,2903900000,2904036000,1
1021575419661059,0,3,0,4373,1021575419661059,2903924000,2904060000,1
1021592599530244,0,4,0,4373,1021592599530244,2903956000,2904092000,1
1021605484432133,0,5,0,4373,1021605484432133,2903980000,2904116000,1
1021622664301318,0,6,0,4373,1021622664301318,2904012000,2904148000,1
1021635549203207,0,7,0,4373,1021635549203207,2904036000,2904172000,1
1021652729072392,0,8,0,4373,1021652729072392,2904068000,2904204000,1
1021665613974281,0,9,0,4373,1021665613974281,2904092000,2904228000,1
1021682793843466,0,10,0,4373,1021682793843466,2904124000,2904260000,1
1021695678745355,0,11,0,4373,1021695678745355,2904148000,2904284000,1
1021712858614540,0,12,0,4373,1021712858614540,2904180000,2904316000,1
1021725743516429,0,13,0,4373,1021725743516429,2904204000,2904340000,1
1021742923385614,0,14,0,4373,1021742923385614,2904236000,2904372000,1
1021755808287503,0,15,0,4373,1021755808287503,2904260000,2904396000,1
1021772988156688,0,16,0,4373,1021772988156688,2904292000,2904428000,1
1021785873058577,0,17,0,4373,1021785873058577,2904316000,2904452000,1
1021803052927762,0,18,0,4373,1021803052927762,2904348000,2904484000,1
1021815937829651,0,19,0,4373,1021815937829651,2904372000,2904508000,1
1021833117698836,0,20,0,4373,1021833117698836,2904404000,2904540000,1
1021846002600725,0,21,0,4373,1021846002600725,2904428000,2904564000,1
1021863182469910,0,22,0,4373,1021863182469910,2904460000,2904596000,1
1021876067371799,0,23,0,4373,1021876067371799,2904484000,2904620000,1
1021893247240984,0,24,0,4373,1021893247240984,2904516000,2904652000,1
1021906132142873,0,25,0,4373,1021906132142873,2904540000,2904676000,1
1021923312012058,0,26,0,4373,1021923312012058,2904572000,2904708000,1
1021936196913947,0,27,0,4373,1021936196913947,2904596000,2904732000,1
1021953376783132,0,28,0,4373,1021953376783132,2904628000,2904764000,1
1021966261685021,0,29,0,4373,1021966261685021,2904652000,2904788000,1
1021983441554206,0,30,0,4373,1021983441554206,2904684000,2904820000,1
1021996326456095,0,31,0,4373,1021996326456095,2904708000,2904844000,1
1025440890227488,0,0,0,20760,1025440890227488,2911124000,2911260000,1
1025453775129377,0,1,0,20760,1025453775129377,2911148000,2911284000,1
1025470954998562,0,2,0,20760,1025470954998562,2911180000,2911316000,1
1025483839900451,0,3,0,20760,1025483839900451,2911204000,2911340000,1
1025501019769636,0,4,0,20760,1025501019769636,2911236000,2911372000,1
1025513904671525,0,5,0,20760,1025513904671525,2911260000,2911396000,1
1025531084540710,0,6,0,20760,1025531084540710,2911292000,2911428000,1
1025543969442599,0,7,0,20760,1025543969442599,2911316000,2911452000,1
1025561149311784,0,8,0,20760,1025561149311784,2911348000,2911484000,1
1025574034213673,0,9,0,20760,1025574034213673,2911372000,2911508000,1
1025591214082858,0,10,0,20760,1025591214082858,2911404000,2911540000,1
1025604098984747,0,11,0,20760,1025604098984747,2911428000,2911564000,1
1025621278853932,0,12,0,20760,1025621278853932,2911460000,2911596000,1
1025634163755821,0,13,0,20760,1025634163755821,2911484000,2911620000,1
1025651343625006,0,14,0,20760,1025651343625006,2911516000,2911652000,1
1025664228526895,0,15,0,20760,1025664228526895,2911540000,2911676000,1
1025681408396080,0,16,0,20760,1025681408396080,2911572000,2911708000,1
1025694293297969,0,17,0,20760,1025694293297969,2911596000,2911732000,1
1025711473167154,0,18,0,20760,1025711473167154,2911628000,2911764000,1
1025724358069043,0,19,0,20760,1025724358069043,2911652000,2911788000,1
1025741537938228,0,20,0,20760,1025741537938228,2911684000,2911820000,1
1025754422840117,0,21,0,20760,1025754422840117,2911708000,2911844000,1
1025771602709302,0,22,0,20760,1025771602709302,2911740000,2911876000,1
1025784487611191,0,23,0,20760,1025784487611191,2911764000,2911900000,1
1025801667480376,0,24,0,20760,1025801667480376,2911796000,2911932000,1
1025814552382265,0,25,0,20760,1025814552382265,2911820000,2911956000,1
1025831732251450,0,26,0,20760,1025831732251450,2911852000,2911988000,1
1025844617153339,0,27,0,20760,1025844617153339,2911876000,2912012000,1
1025861797022524,0,28,0,20760,1025861797022524,2911908000,2912044000,1
1025874681924413,0,29,0,20760,1025874681924413,2911932000,2912068000,1
1025891861793598,0,30,0,20760,1025891861793598,2911964000,2912100000,1
1025904746695487,0,31,0,20760,1025904746695487,2911988000,2912124000,1
1033257730706240,0,0,0,16319,1033257730706240,2925684000,2925820000,1
1033270615608129,0,1,0,16319,1033270615608129,2925708000,2925844000,1
1033287795477314,0,2,0,16319,1033287795477314,2925740000,2925876000,1
1033300680379203,0,3,0,16319,1033300680379203,2925764000,2925900000,1
1033317860248388,0,4,0,16319,1033317860248388,2925796000,2925932000,1
1033330745150277,0,5,0,16319,1033330745150277,2925820000,2925956000,1
1033347925019462,0,6,0,16319,1033347925019462,2925852000,2925988000,1
1033360809921351,0,7,0,16319,1033360809921351,2925876000,2926012000,1
1033377989790536,0,8,0,16319,1033377989790536,2925908000,2926044000,1
1033390874692425,0,9,0,16319,1033390874692425,2925932000,2926068000,1
1033408054561610,0,10,0,16319,1033408054561610,2925964000,2926100000,1
1033420939463499,0,11,0,16319,1033420939463499,2925988000,2926124000,1
1033438119332684,0,12,0,16319,1033438119332684,2926020000,2926156000,1
1033451004234573,0,13,0,16319,1033451004234573,2926044000,2926180000,1
1033468184103758,0,14,0,16319,1033468184103758,2926076000,2926212000,1
1033481069005647,0,15,0,16319,1033481069005647,2926100000,2926236000,1
1033498248874832,0,16,0,16319,1033498248874832,2926132000,2926268000,1
1033511133776721,0,17,0,16319,1033511133776721,2926156000,2926292000,1
1033528313645906,0,18,0,16319,1033528313645906,2926188000,2926324000,1
1033541198547795,0,19,0,16319,1033541198547795,2926212000,2926348000,1
1033558378416980,0,20,0,16319,1033558378416980,2926244000,2926380000,1
1033571263318869,0,21,0,16319,1033571263318869,2926268000,2926404000,1
1033588443188054,0,22,0,16319,1033588443188054,2926300000,2926436000,1
1033601328089943,0,23,0,16319,1033601328089943,2926324000,2926460000,1
