hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,abs_ts_post_rbcam,abs_ts_feb_egress,run_origin
583832352850147,0,3,0,24036,583832352850147,2088564000,2088700000,2097964000,2116944000,1
583849532719332,0,4,0,24036,583849532719332,2088596000,2088732000,2097996000,2116950400,1
583862417621221,0,5,0,24036,583862417621221,2088620000,2088756000,2098028000,2116956800,1
583879597490406,0,6,0,24036,583879597490406,2088652000,2088788000,2098060000,2116963200,1
583892482392295,0,7,0,24036,583892482392295,2088676000,2088812000,2098092000,2116969600,1
583909662261480,0,8,0,24036,583909662261480,2088708000,2088844000,2098124000,2116976000,1
583922547163369,0,9,0,24036,583922547163369,2088732000,2088868000,2098156000,2116982400,1
583939727032554,0,10,0,24036,583939727032554,2088764000,2088900000,2098188000,2116988800,1
583952611934443,0,11,0,24036,583952611934443,2088788000,2088924000,2098220000,2116995200,1
583969791803628,0,12,0,24036,583969791803628,2088820000,2088956000,2098252000,2117001600,1
583982676705517,0,13,0,24036,583982676705517,2088844000,2088980000,2098284000,2117008000,1
583999856574702,0,14,0,24036,583999856574702,2088876000,2089012000,2098316000,2117014400,1
584012741476591,0,15,0,24036,584012741476591,2088900000,2089036000,2098348000,2117020800,1
584029921345776,0,16,0,24036,584029921345776,2088932000,2089068000,2098380000,2117027200,1
584042806247665,0,17,0,24036,584042806247665,2088956000,2089092000,2098412000,2117033600,1
584059986116850,0,18,0,24036,584059986116850,2088988000,2089124000,2098444000,2117040000,1
584072871018739,0,19,0,24036,584072871018739,2089012000,2089148000,2098476000,2117046400,1
584090050887924,0,20,0,24036,584090050887924,2089044000,2089180000,2098508000,2117052800,1
584102935789813,0,21,0,24036,584102935789813,2089068000,2089204000,2098540000,2117059200,1
584120115658998,0,22,0,24036,584120115658998,2089100000,2089236000,2098572000,2117065600,1
584133000560887,0,23,0,24036,584133000560887,2089124000,2089260000,2098604000,2117072000,1
584150180430072,0,24,0,24036,584150180430072,2089156000,2089292000,2098636000,2117078400,1
584163065331961,0,25,0,24036,584163065331961,2089180000,2089316000,2098668000,2117084800,1
584180245201146,0,26,0,24036,584180245201146,2089212000,2089348000,2098700000,2117091200,1
584193130103035,0,27,0,24036,584193130103035,2089236000,2089372000,2098732000,2117097600,1
584210309972220,0,28,0,24036,584210309972220,2089268000,2089404000,2098764000,2117104000,1
584223194874109,0,29,0,24036,584223194874109,2089292000,2089428000,2098796000,2117110400,1
584240374743294,0,30,0,24036,584240374743294,2089324000,2089460000,2098828000,2117116800,1
584253259645183,0,31,0,24036,584253259645183,2089348000,2089484000,2098860000,2117123200,1
587697823416576,0,0,0,23079,587697823416576,2095764000,2095900000,2107852000,2117628800,1
587710708318465,0,1,0,23079,587710708318465,2095788000,2095924000,2107884000,2117635200,1
587727888187650,0,2,0,23079,587727888187650,2095820000,2095956000,2107916000,2117641600,1
587740773089539,0,3,0,23079,587740773089539,2095844000,2095980000,2107948000,2117648000,1
587757952958724,0,4,0,23079,587757952958724,2095876000,2096012000,2107980000,2117654400,1
587770837860613,0,5,0,23079,587770837860613,2095900000,2096036000,2108012000,2117660800,1
587788017729798,0,6,0,23079,587788017729798,2095932000,2096068000,2108044000,2117667200,1
587800902631687,0,7,0,23079,587800902631687,2095956000,2096092000,2108076000,2117673600,1
587818082500872,0,8,0,23079,587818082500872,2095988000,2096124000,2108108000,2117680000,1
587830967402761,0,9,0,23079,587830967402761,2096012000,2096148000,2108140000,2117686400,1
587848147271946,0,10,0,23079,587848147271946,2096044000,2096180000,2108172000,2117692800,1
587861032173835,0,11,0,23079,587861032173835,2096068000,2096204000,2108204000,2117699200,1
587878212043020,0,12,0,23079,587878212043020,2096100000,2096236000,2108236000,2117705600,1
587891096944909,0,13,0,23079,587891096944909,2096124000,2096260000,2108268000,2117712000,1
587908276814094,0,14,0,23079,587908276814094,2096156000,2096292000,2108300000,2117718400,1
587921161715983,0,15,0,23079,587921161715983,2096180000,2096316000,2108332000,2117724800,1
587938341585168,0,16,0,23079,587938341585168,2096212000,2096348000,2108364000,2117731200,1
587951226487057,0,17,0,23079,587951226487057,2096236000,2096372000,2108396000,2117737600,1
587968406356242,0,18,0,23079,587968406356242,2096268000,2096404000,2108428000,2117744000,1
587981291258131,0,19,0,23079,587981291258131,2096292000,2096428000,2108460000,2117750400,1
587998471127316,0,20,0,23079,587998471127316,2096324000,2096460000,2108492000,2117756800,1
588011356029205,0,21,0,23079,588011356029205,2096348000,2096484000,2108524000,2117763200,1
588028535898390,0,22,0,23079,588028535898390,2096380000,2096516000,2108556000,2117769600,1
588041420800279,0,23,0,23079,588041420800279,2096404000,2096540000,2108588000,2117776000,1
588058600669464,0,24,0,23079,588058600669464,2096436000,2096572000,2108620000,2117782400,1
588071485571353,0,25,0,23079,588071485571353,2096460000,2096596000,2108652000,2117788800,1
588088665440538,0,26,0,23079,588088665440538,2096492000,2096628000,2108684000,2117795200,1
588101550342427,0,27,0,23079,588101550342427,2096516000,2096652000,2108716000,2117801600,1
588118730211612,0,28,0,23079,588118730211612,2096548000,2096684000,2108748000,2117808000,1
588131615113501,0,29,0,23079,588131615113501,2096572000,2096708000,2108780000,2117814400,1
588148794982686,0,30,0,23079,588148794982686,2096604000,2096740000,2108812000,2117820800,1
588161679884575,0,31,0,23079,588161679884575,2096628000,2096764000,2108844000,2117827200,1
591606243655968,0,0,0,20163,591606243655968,2103044000,2103180000,2117964000,2149456000,1
591619128557857,0,1,0,20163,591619128557857,2103068000,2103204000,2117996000,2149462400,1
591636308427042,0,2,0,20163,591636308427042,2103100000,2103236000,2118028000,2149468800,1
591649193328931,0,3,0,20163,591649193328931,2103124000,2103260000,2118060000,2149475200,1
591666373198116,0,4,0,20163,591666373198116,2103156000,2103292000,2118092000,2149481600,1
591679258100005,0,5,0,20163,591679258100005,2103180000,2103316000,2118124000,2149488000,1
591696437969190,0,6,0,20163,591696437969190,2103212000,2103348000,2118156000,2149494400,1
591709322871079,0,7,0,20163,591709322871079,2103236000,2103372000,2118188000,2149500800,1
591726502740264,0,8,0,20163,591726502740264,2103268000,2103404000,2118220000,2149507200,1
591739387642153,0,9,0,20163,591739387642153,2103292000,2103428000,2118252000,2149513600,1
591756567511338,0,10,0,20163,591756567511338,2103324000,2103460000,2118284000,2149520000,1
591769452413227,0,11,0,20163,591769452413227,2103348000,2103484000,2118316000,2149526400,1
591786632282412,0,12,0,20163,591786632282412,2103380000,2103516000,2118348000,2149532800,1
591799517184301,0,13,0,20163,591799517184301,2103404000,2103540000,2118380000,2149539200,1
591816697053486,0,14,0,20163,591816697053486,2103436000,2103572000,2118412000,2149545600,1
591829581955375,0,15,0,20163,591829581955375,2103460000,2103596000,2118444000,2149552000,1
591846761824560,0,16,0,20163,591846761824560,2103492000,2103628000,2118476000,2149558400,1
591859646726449,0,17,0,20163,591859646726449,2103516000,2103652000,2118508000,2149564800,1
591876826595634,0,18,0,20163,591876826595634,2103548000,2103684000,2118540000,2149571200,1
591889711497523,0,19,0,20163,591889711497523,2103572000,2103708000,2118572000,2149577600,1
591906891366708,0,20,0,20163,591906891366708,2103604000,2103740000,2118604000,2149584000,1
591919776268597,0,21,0,20163,591919776268597,2103628000,2103764000,2118636000,2149590400,1
591936956137782,0,22,0,20163,591936956137782,2103660000,2103796000,2118668000,2149596800,1
591949841039671,0,23,0,20163,591949841039671,2103684000,2103820000,2118700000,2149603200,1
591967020908856,0,24,0,20163,591967020908856,2103716000,2103852000,2118732000,2149609600,1
591979905810745,0,25,0,20163,591979905810745,2103740000,2103876000,2118764000,2149616000,1
591997085679930,0,26,0,20163,591997085679930,2103772000,2103908000,2118796000,2149622400,1
592009970581819,0,27,0,20163,592009970581819,2103796000,2103932000,2118828000,2149628800,1
