bus,time_ps,value_hex,value_dec,qualifier
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,22500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,23000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,24500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,25000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,26500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,27000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,28500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,29000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,30500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_error,31000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.avalon_st_adapter_009.out_0_valid
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel,500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel,1000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel,2500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel,3000,0x0,0,u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid
u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_channel,4500,0x0,0,u_feb_system.u_qsys.data_path_subsystem.decoded_lane_fifo_0.out_valid
