name,first_one_ps,last_one_ps,rise_count,one_samples,known_samples,final
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[1],301500,1857000,2,8,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[2],500,2049000,3,4081,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[3],500,2049000,3,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[4],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[5],500,2049000,3,4069,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[6],305500,307000,1,4,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[7],500,2049000,5,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[8],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_error[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_error[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_error[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[0],302500,307000,2,4,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[1],302500,1857000,2,4,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[2],500,2049000,5,4089,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[3],500,2049000,4,4091,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[4],500,2049000,7,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[5],500,2049000,8,4083,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[6],306500,307000,1,2,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_data[7],500,2049000,7,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[4],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[5],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[6],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[7],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[8],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_frame_len[9],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_word_cnt[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_word_cnt[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_word_cnt[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_word_cnt[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_word_cnt[4],never,never,0,0,4097,0
